date,crime_type,state,Primary Category,Secondary Category
05-2010,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",California,,OTHER
05-2010,KIDNAPPING,California,Violent Crimes,KIDNAPPING
05-2010,OTHER MISCELLANEOUS CRIME,California,,OTHER
05-2010,BRANDISH WEAPON,California,,OTHER
05-2010,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",California,,OTHER
05-2010,BURGLARY,California,Property Crimes,BURGLARY
05-2010,VEHICLE - ATTEMPT STOLEN,California,,OTHER
05-2010,BURGLARY FROM VEHICLE,California,Property Crimes,BURGLARY
05-2010,ROBBERY,California,Violent Crimes,ROBBERY
05-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
05-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT
05-2010,THEFT PLAIN - PETTY ($950 & UNDER),California,,OTHER
06-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT
05-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
05-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
05-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
05-2010,BATTERY WITH SEXUAL CONTACT,California,Violent Crimes,BATTERY
05-2010,THEFT PLAIN - PETTY ($950 & UNDER),California,,OTHER
05-2010,DOCUMENT FORGERY / STOLEN FELONY,California,,OTHER
05-2010,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",California,,OTHER
05-2010,OTHER MISCELLANEOUS CRIME,California,,OTHER
05-2010,OTHER MISCELLANEOUS CRIME,California,,OTHER
05-2010,OTHER MISCELLANEOUS CRIME,California,,OTHER
05-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
05-2010,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",California,,OTHER
05-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT
05-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
05-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT
05-2010,CRIMINAL THREATS - NO WEAPON DISPLAYED,California,,OTHER
05-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT
05-2010,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",California,,OTHER
05-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT
05-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
05-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
05-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
05-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT
05-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT
05-2010,ROBBERY,California,Violent Crimes,ROBBERY
05-2010,ROBBERY,California,Violent Crimes,ROBBERY
06-2010,ROBBERY,California,Violent Crimes,ROBBERY
05-2010,BURGLARY FROM VEHICLE,California,Property Crimes,BURGLARY
06-2010,ATTEMPTED ROBBERY,California,Violent Crimes,ROBBERY
06-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
06-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
06-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
06-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
05-2010,BURGLARY,California,Property Crimes,BURGLARY
05-2010,BURGLARY,California,Property Crimes,BURGLARY
06-2010,ROBBERY,California,Violent Crimes,ROBBERY
06-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
06-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
06-2010,THEFT PLAIN - PETTY ($950 & UNDER),California,,OTHER
06-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT
06-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT
06-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
06-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT
06-2010,ROBBERY,California,Violent Crimes,ROBBERY
06-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT
06-2010,BATTERY POLICE (SIMPLE),California,Violent Crimes,BATTERY
06-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
06-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT
06-2010,BURGLARY,California,Property Crimes,BURGLARY
06-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
06-2010,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,California,Violent Crimes,ASSAULT
06-2010,CHILD NEGLECT (SEE 300 W.I.C.),California,,OTHER
06-2010,BURGLARY FROM VEHICLE,California,Property Crimes,BURGLARY
07-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
06-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
06-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
06-2010,CRIMINAL THREATS - NO WEAPON DISPLAYED,California,,OTHER
06-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California,,OTHER
06-2010,"THEFT, PERSON",California,,OTHER
06-2010,THROWING OBJECT AT MOVING VEHICLE,California,,OTHER
06-2010,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",California,,OTHER
06-2010,DISTURBING THE PEACE,California,,OTHER
06-2010,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",California,,OTHER
06-2010,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",California,,OTHER
06-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California,,OTHER
06-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT
06-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
06-2010,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",California,,OTHER
06-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California,,OTHER
06-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
06-2010,ROBBERY,California,Violent Crimes,ROBBERY
06-2010,ROBBERY,California,Violent Crimes,ROBBERY
06-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT
06-2010,OTHER ASSAULT,California,Violent Crimes,ASSAULT
06-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
06-2010,"RAPE, FORCIBLE",California,Sexual Offenses,RAPE
06-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
06-2010,OTHER MISCELLANEOUS CRIME,California,,OTHER
06-2010,TRESPASSING,California,,OTHER
06-2010,ROBBERY,California,Violent Crimes,ROBBERY
06-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
06-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
06-2010,BURGLARY,California,Property Crimes,BURGLARY
06-2010,THEFT PLAIN - PETTY ($950 & UNDER),California,,OTHER
06-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
07-2010,ROBBERY,California,Violent Crimes,ROBBERY
07-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT
