cmplnt_num,cmplnt_fr_dt,cmplnt_fr_tm,cmplnt_to_dt,cmplnt_to_tm,addr_pct_cd,rpt_dt,ky_cd,ofns_desc,pd_cd,pd_desc,crm_atpt_cptd_cd,law_cat_cd,boro_nm,loc_of_occur_desc,prem_typ_desc,juris_desc,jurisdiction_code,parks_nm,hadevelopt,housing_psa,x_coord_cd,y_coord_cd,susp_age_group,susp_race,susp_sex,transit_district,latitude,longitude,lat_lon,patrol_boro,station_name,vic_age_group,vic_race,vic_sex
279564271,2023-12-27T00:00:00.000,01:23:00,2023-12-27T00:00:00.000,02:05:00,40.0,2023-12-27T00:00:00.000,121,CRIMINAL MISCHIEF & RELATED OF,267.0,"MISCHIEF, CRIMINAL 3 & 2, OF M",COMPLETED,FELONY,BRONX,FRONT OF,BUS (OTHER),N.Y. POLICE DEPT,0,(null),(null),(null),1005293.0,237196.0,25-44,WHITE HISPANIC,M,,40.8177,-73.923972,"(40.8177, -73.923972)",PATROL BORO BRONX,(null),UNKNOWN,UNKNOWN,D
279595990,2023-12-27T00:00:00.000,19:30:00,,(null),73.0,2023-12-27T00:00:00.000,341,PETIT LARCENY,333.0,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,CHAIN STORE,N.Y. POLICE DEPT,0,(null),(null),(null),1011826.0,179197.0,18-24,BLACK,M,,40.658489,-73.900608,"(40.658489, -73.900608)",PATROL BORO BKLYN NORTH,(null),UNKNOWN,UNKNOWN,D
279547261,2023-12-26T00:00:00.000,20:00:00,,(null),52.0,2023-12-27T00:00:00.000,104,RAPE,157.0,RAPE 1,COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),1017478.0,256069.0,25-44,BLACK HISPANIC,M,,40.8694704770483,-73.8798608037303,"(40.8694704770483, -73.8798608037303)",PATROL BORO BRONX,(null),45-64,BLACK HISPANIC,F
279592554,2023-12-25T00:00:00.000,06:00:00,2023-12-25T00:00:00.000,14:00:00,63.0,2023-12-27T00:00:00.000,110,GRAND LARCENY OF MOTOR VEHICLE,441.0,"LARCENY,GRAND OF AUTO",COMPLETED,FELONY,BROOKLYN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),1007047.0,167104.0,(null),(null),(null),,40.625311,-73.917874,"(40.625311, -73.917874)",PATROL BORO BKLYN SOUTH,(null),25-44,ASIAN / PACIFIC ISLANDER,M
279618895,2023-12-24T00:00:00.000,22:00:00,2023-12-26T00:00:00.000,22:00:00,88.0,2023-12-27T00:00:00.000,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,BROOKLYN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),527,991139.0,192034.0,45-64,BLACK,M,,40.693765,-73.975157,"(40.693765, -73.975157)",PATROL BORO BKLYN NORTH,(null),18-24,BLACK,M
279550376,2023-12-27T00:00:00.000,04:10:00,2023-12-27T00:00:00.000,04:23:00,62.0,2023-12-27T00:00:00.000,118,DANGEROUS WEAPONS,792.0,CRIMINAL POSSESSION WEAPON,COMPLETED,FELONY,BROOKLYN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),(null),989080.0,158987.0,25-44,WHITE,M,,40.60305753960592,-73.98260612918509,"(40.60305753960592, -73.98260612918509)",PATROL BORO BKLYN SOUTH,(null),UNKNOWN,UNKNOWN,E
279810809,2023-12-26T00:00:00.000,08:40:00,2023-12-26T00:00:00.000,09:00:00,34.0,2023-12-27T00:00:00.000,578,HARRASSMENT 2,637.0,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,MANHATTAN,INSIDE,HOMELESS SHELTER,N.Y. POLICE DEPT,0,(null),(null),(null),1002765.0,248133.0,18-24,BLACK,F,,40.847725,-73.933078,"(40.847725, -73.933078)",PATROL BORO MAN NORTH,(null),65+,BLACK,F
279593030,2023-12-27T00:00:00.000,23:40:00,2023-12-27T00:00:00.000,23:45:00,40.0,2023-12-27T00:00:00.000,348,VEHICLE AND TRAFFIC LAWS,922.0,"TRAFFIC,UNCLASSIFIED MISDEMEAN",COMPLETED,MISDEMEANOR,BRONX,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),1006975.0,233621.0,(null),(null),(null),,40.807884,-73.91791,"(40.807884, -73.91791)",PATROL BORO BRONX,(null),UNKNOWN,UNKNOWN,E
279577230,2023-12-26T00:00:00.000,21:00:00,2023-12-27T00:00:00.000,10:40:00,84.0,2023-12-27T00:00:00.000,110,GRAND LARCENY OF MOTOR VEHICLE,442.0,"LARCENY, GRAND OF AUTO - ATTEM",COMPLETED,FELONY,BROOKLYN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),984619.0,191752.0,UNKNOWN,UNKNOWN,U,,40.692993,-73.998669,"(40.692993, -73.998669)",PATROL BORO BKLYN NORTH,(null),25-44,WHITE,M
279586657,2023-12-15T00:00:00.000,02:00:00,,(null),77.0,2023-12-27T00:00:00.000,341,PETIT LARCENY,338.0,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,BROOKLYN,(null),OTHER,N.Y. POLICE DEPT,0,(null),(null),(null),995703.0,186534.0,(null),(null),(null),,40.678665,-73.958706,"(40.678665, -73.958706)",PATROL BORO BKLYN NORTH,(null),25-44,WHITE,M
279757861,2023-12-24T00:00:00.000,11:00:00,,(null),79.0,2023-12-27T00:00:00.000,341,PETIT LARCENY,352.0,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE",COMPLETED,MISDEMEANOR,BROOKLYN,(null),RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),1000204.0,188263.0,(null),(null),(null),,40.683403,-73.942474,"(40.683403, -73.942474)",PATROL BORO BKLYN NORTH,(null),25-44,WHITE,M
279595983,2023-12-27T00:00:00.000,22:33:00,2023-12-27T00:00:00.000,22:47:00,62.0,2023-12-27T00:00:00.000,106,FELONY ASSAULT,109.0,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),983349.0,159059.0,25-44,WHITE HISPANIC,M,,40.603257,-74.003242,"(40.603257, -74.003242)",PATROL BORO BKLYN SOUTH,(null),65+,ASIAN / PACIFIC ISLANDER,M
