DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA ,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
100308966,03/15/2010 12:00:00 AM,03/15/2010 12:00:00 AM,1655,3,Southwest,362,2,753,DISCHARGE FIREARMS/SHOTS FIRED,0906 1100 1402 1414 1407,24,M,B,121.0,YARD (RESIDENTIAL/BUSINESS),107.0,OTHER FIREARM,AO,Adult Other,753.0,998.0,,,4800 W  MARTIN LUTHER KING JR        BL,,34.0197,-118.3495
100308967,03/15/2010 12:00:00 AM,03/15/2010 12:00:00 AM,1710,3,Southwest,362,2,900,VIOLATION OF COURT ORDER,1402,24,M,B,101.0,STREET,,,IC,Invest Cont,900.0,998.0,,,4800 W  MARTIN LUTHER KING JR        BL,,34.0197,-118.3495
100308971,03/14/2010 12:00:00 AM,03/14/2010 12:00:00 AM,1945,3,Southwest,334,2,624,BATTERY - SIMPLE ASSAULT,0400 0416 2000,28,F,B,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,3300 W  36TH                         ST,,34.0234,-118.3317
100308972,03/15/2010 12:00:00 AM,03/10/2010 12:00:00 AM,1900,3,Southwest,395,1,210,ROBBERY,0337 0344 0416,49,F,W,504.0,OTHER RESIDENCE,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,,,,4300 S  WESTERN                      AV,,34.0052,-118.3089
100308973,03/15/2010 12:00:00 AM,03/13/2010 12:00:00 AM,1200,3,Southwest,391,1,330,BURGLARY FROM VEHICLE,0344 1300 1307,32,F,H,122.0,"VEHICLE, PASSENGER/TRUCK",500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,330.0,,,,4700    DON ALBERTO                  PL,,34.0021,-118.3588
100308976,03/15/2010 12:00:00 AM,03/14/2010 12:00:00 AM,2100,3,Southwest,331,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,,57,M,W,104.0,DRIVEWAY,511.0,VERBAL THREAT,IC,Invest Cont,930.0,,,,4900    EXPOSITION                   BL,,34.0242,-118.3466
100308977,03/15/2010 12:00:00 AM,03/15/2010 12:00:00 AM,1750,3,Southwest,363,2,649,DOCUMENT FORGERY / STOLEN FELONY,,0,M,B,602.0,BANK,,,IC,Invest Cont,649.0,,,,3600    STOCKER                      ST,,34.0085,-118.3351
100308978,03/15/2010 12:00:00 AM,03/15/2010 12:00:00 AM,1600,3,Southwest,358,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1251 1402,20,M,A,722.0,COLLEGE/JUNIOR COLLEGE/UNIVERSITY,,,IC,Invest Cont,341.0,998.0,,,1000 W  34TH                         ST,,34.0243,-118.2876
100308982,03/16/2010 12:00:00 AM,03/15/2010 12:00:00 AM,1955,3,Southwest,357,2,850,INDECENT EXPOSURE,0529,42,F,O,203.0,OTHER BUSINESS,,,IC,Invest Cont,850.0,,,,3500 S  NORMANDIE                    AV,,34.0246,-118.3002
100308983,03/15/2010 12:00:00 AM,03/14/2010 12:00:00 AM,1900,3,Southwest,313,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,39,M,H,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745.0,,,,35TH                         ST,RAYMOND,34.0246,-118.2981
100308986,03/16/2010 12:00:00 AM,03/15/2010 12:00:00 AM,1700,3,Southwest,393,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 0913 1241 2000,27,F,B,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,3200 W  43RD                         PL,,34.0044,-118.3283
100308987,03/16/2010 12:00:00 AM,03/15/2010 12:00:00 AM,725,3,Southwest,393,1,310,BURGLARY,0321 0344 1602 1607,40,M,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,4200    MC CLUNG                     DR,,34.0085,-118.3341
100308988,03/16/2010 12:00:00 AM,03/14/2010 12:00:00 AM,2315,3,Southwest,341,2,624,BATTERY - SIMPLE ASSAULT,0432 0913,29,F,B,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,5600    WENLOCK                      ST,,34.0193,-118.3672
100308990,03/16/2010 12:00:00 AM,03/10/2010 12:00:00 AM,1850,3,Southwest,363,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,43,M,B,203.0,OTHER BUSINESS,,,IC,Invest Cont,440.0,,,,4100    CRENSHAW                     BL,,34.0102,-118.3351
100308991,03/16/2010 12:00:00 AM,03/15/2010 12:00:00 AM,340,3,Southwest,331,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344,47,M,H,101.0,STREET,,,IC,Invest Cont,420.0,,,,2800 S  RIMPAU                       BL,,34.0294,-118.3496
100308992,03/16/2010 12:00:00 AM,03/15/2010 12:00:00 AM,1505,3,Southwest,393,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 0416,35,M,B,203.0,OTHER BUSINESS,,,IC,Invest Cont,745.0,,,,4200    CRENSHAW                     BL,,34.0085,-118.3351
100308993,03/16/2010 12:00:00 AM,03/15/2010 12:00:00 AM,840,3,Southwest,355,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,67,F,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,745.0,,,,3700 S  VAN NESS                     AV,,34.0208,-118.3166
100308994,03/16/2010 12:00:00 AM,03/15/2010 12:00:00 AM,2240,3,Southwest,332,1,210,ROBBERY,0342 0344 0416 0417,52,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,,,,2900    BUCKINGHAM                   RD,,34.0295,-118.3405
100309002,03/16/2010 12:00:00 AM,03/15/2010 12:00:00 AM,2200,3,Southwest,355,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0319 0334 0416,41,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",200.0,KNIFE WITH BLADE 6INCHES OR LESS,AA,Adult Arrest,230.0,,,,JEFFERSON,SAINT ANDREWS                ST,34.0256,-118.3119
100614624,05/27/2010 12:00:00 AM,05/26/2010 12:00:00 AM,2130,6,Hollywood,678,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,900 N  HOBART                       BL,,34.0863,-118.3051
100309003,03/16/2010 12:00:00 AM,03/15/2010 12:00:00 AM,1930,3,Southwest,332,1,330,BURGLARY FROM VEHICLE,0344 0358 1607,30,M,H,202.0,LIQUOR STORE,,,IC,Invest Cont,330.0,,,,2900    BUCKINGHAM                   RD,,34.0295,-118.3405
100309004,03/16/2010 12:00:00 AM,03/15/2010 12:00:00 AM,1720,3,Southwest,379,2,624,BATTERY - SIMPLE ASSAULT,0416,30,M,B,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,3900 S  VERMONT                      AV,,34.0154,-118.2915
100309005,03/16/2010 12:00:00 AM,03/14/2010 12:00:00 AM,2200,3,Southwest,327,1,330,BURGLARY FROM VEHICLE,0344 0358 1607,22,F,W,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,1200 W  ADAMS                        BL,,34.0328,-118.2864
100309010,03/15/2010 12:00:00 AM,03/15/2010 12:00:00 AM,400,3,Southwest,376,2,900,VIOLATION OF COURT ORDER,2000,23,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,900.0,,,,3900    DENKER                       AV,,34.0149,-118.3045
