ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
4127948,HL463323,07/03/2005 09:00:00 AM,017XX E 85TH PL,0820,THEFT,$500 AND UNDER,STREET,False,False,412,4.0,8.0,45.0,06,1189255.0,1848630.0,2005,02/28/2018 03:56:25 PM,41.73969315,-87.582175333,"(41.73969315, -87.582175333)"
4085600,HL430926,06/19/2005 01:30:00 AM,015XX N SPRINGFIELD AVE,0850,THEFT,ATTEMPT THEFT,VEHICLE NON-COMMERCIAL,False,False,2535,25.0,30.0,23.0,06,1150095.0,1909990.0,2005,02/28/2018 03:56:25 PM,41.90892181,-87.724058328,"(41.90892181, -87.724058328)"
4045689,HL395582,06/02/2005 11:35:33 PM,076XX S NORMAL AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,621,6.0,17.0,69.0,14,1174287.0,1854197.0,2005,02/10/2018 03:50:01 PM,41.75531513,-87.636850366,"(41.75531513, -87.636850366)"
4295697,HL513794,07/28/2005 06:40:00 PM,067XX S EBERHART AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,True,False,321,3.0,20.0,42.0,18,1180737.0,1860533.0,2005,02/10/2018 03:50:01 PM,41.772556054,-87.613018533,"(41.772556054, -87.613018533)"
4158788,HL491924,07/18/2005 12:32:28 PM,017XX S RUBLE ST,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,False,False,1233,12.0,25.0,31.0,06,1172088.0,1891679.0,2005,02/28/2018 03:56:25 PM,41.858218136,-87.643807077,"(41.858218136, -87.643807077)"
4289478,HL603673,09/10/2005 03:30:00 PM,018XX N HUMBOLDT BLVD,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,False,False,1421,14.0,35.0,22.0,06,1156084.0,1912094.0,2005,02/10/2018 03:50:01 PM,41.914576519,-87.702000545,"(41.914576519, -87.702000545)"
4209514,HL538473,08/01/2005 12:00:00 PM,053XX S CAMPBELL AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,911,9.0,14.0,63.0,06,1160612.0,1869092.0,2005,02/28/2018 03:56:25 PM,41.796481972,-87.686555316,"(41.796481972, -87.686555316)"
4182216,HL516524,07/29/2005 11:07:00 PM,063XX S DR MARTIN LUTHER KING JR DR,0560,ASSAULT,SIMPLE,APARTMENT,False,True,312,3.0,20.0,69.0,08A,1180014.0,1862880.0,2005,02/28/2018 03:56:25 PM,41.779013043,-87.615597022,"(41.779013043, -87.615597022)"
4186657,HL520980,07/31/2005 01:30:00 PM,026XX N SHEFFIELD AVE,0810,THEFT,OVER $500,SIDEWALK,False,False,1933,19.0,43.0,7.0,06,1169174.0,1917619.0,2005,02/28/2018 03:56:25 PM,41.929462927,-87.653749058,"(41.929462927, -87.653749058)"
4125752,HL457821,07/02/2005 09:00:00 AM,016XX N LECLAIRE AVE,0560,ASSAULT,SIMPLE,STREET,False,False,2533,25.0,37.0,25.0,08A,1142297.0,1910612.0,2005,02/28/2018 03:56:25 PM,41.91077707,-87.752689399,"(41.91077707, -87.752689399)"
4221495,HL543679,08/11/2005 11:05:00 PM,053XX S HARPER AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,False,False,2132,2.0,4.0,41.0,04B,1187182.0,1870289.0,2005,02/28/2018 03:56:25 PM,41.799176734,-87.589083706,"(41.799176734, -87.589083706)"
4231283,HL555582,08/17/2005 08:06:00 PM,023XX E 93RD ST,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),False,False,413,4.0,7.0,48.0,14,1193360.0,1843756.0,2005,02/28/2018 03:56:25 PM,41.726219145,-87.567294437,"(41.726219145, -87.567294437)"
11310278,JB257037,05/09/2018 12:50:00 AM,025XX W FLOURNOY ST,0820,THEFT,$500 AND UNDER,RESIDENCE-GARAGE,False,False,1135,11.0,2.0,28.0,06,,,2018,05/16/2018 04:12:54 PM,,,
4197609,HL528520,08/04/2005 06:35:58 PM,010XX N LARRABEE ST,4650,OTHER OFFENSE,SEX OFFENDER: FAIL TO REGISTER,STREET,True,False,1822,18.0,27.0,8.0,26,1172156.0,1907154.0,2005,02/28/2018 03:56:25 PM,41.90068107,-87.643100645,"(41.90068107, -87.643100645)"
4153161,HL414886,06/12/2005 01:01:55 AM,051XX W MADISON ST,1822,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,GAS STATION,True,False,1533,15.0,28.0,25.0,18,1142285.0,1899542.0,2005,02/28/2018 03:56:25 PM,41.880399914,-87.753008553,"(41.880399914, -87.753008553)"
4102549,HL442826,06/25/2005 07:45:00 AM,068XX S LAFLIN ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,725,7.0,17.0,67.0,26,1167514.0,1859382.0,2005,02/28/2018 03:56:25 PM,41.769691245,-87.66152324,"(41.769691245, -87.66152324)"
4234661,HL545703,08/12/2005 10:33:00 PM,020XX N DAYTON ST,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,False,1812,18.0,43.0,7.0,05,1170291.0,1913816.0,2005,02/28/2018 03:56:25 PM,41.919002942,-87.649755838,"(41.919002942, -87.649755838)"
4052033,HL392589,05/07/2005 12:00:00 PM,026XX N MERRIMAC AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,False,False,2512,25.0,29.0,19.0,11,1134293.0,1916890.0,2005,02/28/2018 03:56:25 PM,41.928149574,-87.781945407,"(41.928149574, -87.781945407)"
4193438,HL525337,07/01/2005 06:00:00 AM,011XX S MASON AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,True,1513,15.0,29.0,25.0,26,1136892.0,1894405.0,2005,02/28/2018 03:56:25 PM,41.866401642,-87.772934561,"(41.866401642, -87.772934561)"
