Report Number,Offense ID,Offense Start DateTime,Offense End DateTime,Report DateTime,Group A B,Crime Against Category,Offense Parent Group,Offense,Offense Code,Precinct,Sector,Beat,MCPP,100 Block Address,Longitude,Latitude
2019-425191,11813321059,11/14/2019 09:30:00 PM,11/15/2019 05:00:00 AM,11/15/2019 06:58:07 AM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,N,J,J2,BALLARD NORTH,70XX BLOCK OF 18TH AVE NW,-122.379990992,47.68042615
2019-424876,11813191207,11/14/2019 08:00:00 PM,11/14/2019 08:29:00 PM,11/15/2019 04:18:31 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,W,D,D2,SLU/CASCADE,22XX BLOCK OF WESTLAKE AVE,-122.338451686,47.61833048
2019-425047,11813168713,11/15/2019 12:07:00 AM,11/15/2019 12:30:00 AM,11/15/2019 03:14:24 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,W,D,D3,SLU/CASCADE,STEWART ST / YALE AVE,-122.330999404,47.61827376
2019-425042,11813150251,11/14/2019 11:49:00 PM,,11/15/2019 02:26:29 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,U,U1,UNIVERSITY,47XX BLOCK OF 21ST AVE NE,-122.305447818,47.6639954
2019-425053,11813140397,11/14/2019 11:30:00 PM,11/14/2019 11:30:00 PM,11/15/2019 02:08:01 AM,A,SOCIETY,DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,35A,W,K,K1,DOWNTOWN COMMERCIAL,5XX BLOCK OF 5TH AVE,-122.32886096,47.60334108
2019-424837,11813133134,11/14/2019 07:49:46 PM,11/15/2019 02:53:00 AM,11/15/2019 02:05:02 AM,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,S,O,O3,MID BEACON HILL,SWIFT AVE S / 18TH AVE S,-122.309921876,47.54806727
2019-425076,11813138507,11/15/2019 01:10:00 AM,,11/15/2019 01:46:27 AM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,S,R,R2,MOUNT BAKER,38XX BLOCK OF RAINIER AVE S,-122.289921964,47.56888116
2019-425018,11813112333,11/14/2019 08:03:00 PM,11/14/2019 08:10:00 PM,11/15/2019 12:58:29 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,E,G,G2,FIRST HILL,5XX BLOCK OF 14TH AVE,-122.314158835,47.60711998
2019-424725,11813043822,11/14/2019 06:00:00 PM,,11/14/2019 11:29:04 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,N,U,U2,UNIVERSITY,45XX BLOCK OF UNIVERSITY WAY NE,-122.313115709,47.66218058
2019-424819,11813020509,11/14/2019 09:00:00 AM,11/14/2019 12:00:00 PM,11/14/2019 10:26:14 PM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,S,R,R2,MOUNT BAKER,38XX BLOCK OF RAINIER AVE S,-122.289921964,47.56888116
2019-424939,11812991743,11/12/2019 11:18:00 AM,,11/14/2019 10:09:48 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,S,R,R1,NORTH BEACON HILL,23XX BLOCK OF 15TH AVE S,-122.313401677,47.58199848
2019-424840,11812987923,10/28/2019 12:00:00 PM,11/14/2019 12:30:00 PM,11/14/2019 10:09:18 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,E,G,G2,MADRONA/LESCHI,25XX BLOCK OF E YESLER WAY,-122.299444169,47.60166172
2019-424715,11812994290,11/14/2019 06:00:00 AM,11/14/2019 11:00:00 AM,11/14/2019 09:48:45 PM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,W,M,M2,DOWNTOWN COMMERCIAL,6XX BLOCK OF PINE ST,-122.334817764,47.61236844
2019-424650,11812958455,11/13/2019 10:00:00 PM,11/14/2019 02:00:00 PM,11/14/2019 09:31:48 PM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,N,B,B1,BALLARD SOUTH,53XX BLOCK OF TALLMAN AVE NW,-122.380873513,47.66794819
